"Code","Taxa","Description","CF_calc","CF_max","CF_min","CF_n","match_notes","calc_notes","mean_EUMOFA","max_EUMOFA","min_EUMOFA","n_EUMOFA","CF_live_to_commod"
30617,"penaeus semisulcatus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"pleoticus muelleri","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.926,4,1.64,4,"full_match","assign",1.34,1.66,1,6,0.398406374501992
30617,"pleoticus robustus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"plesionika edwardsii","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"plesionika martia","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"protrachypene precipua","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"sclerocrangon","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"sergestidae","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.59166666666667,2.56,1.67,3,"full_match","assign",1.34,1.66,1,6,0.445765230312036
30617,"sicyonia brevirostris","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"sicyonia ingentis","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"solenocera agassizii","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"trachysalambria curvirostris","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"xiphopenaeus kroyeri","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.28285714285714,1,1,1,"loose_match","assign",1.34,1.66,1,6,0.746268656716418
30626,"crangon crangon","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.21115384615385,1.25,1,9,"full_match","assign",1.2775,1.66,1.15,4,0.889328063241107
30626,"crangonidae","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30626,"pandalus","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.475,2.05,1.04,4,"loose_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30626,"pandalus borealis","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.207,1.15,1,6,"full_match","assign",1.2775,1.66,1.15,4,0.966183574879227
30626,"pandalus goniurus","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30626,"pandalus hypsinotus","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30626,"pandalus jordani","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30626,"pandalus kessleri","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30626,"pandalus montagui","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30626,"pandalus platyceros","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"acetes erythraeus","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"acetes japonicus","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.324,1,1,1,"loose_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"aristaeomorpha foliacea","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"aristaeopsis edwardsiana","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"aristeus antennatus","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.52928571428571,2.35,1.04,3,"full_match","assign",1.2775,1.66,1.15,4,0.630252100840336
30627,"aristeus varidens","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"artemesia longinaris","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"crangonidae","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"farfantepenaeus aztecus","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"farfantepenaeus brasiliensis","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.334,1.05,1.05,1,"full_match","assign",1.2775,1.66,1.15,4,0.952380952380952
30627,"farfantepenaeus brevirostris","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.41166666666667,1.85,1,2,"full_match","assign",1.2775,1.66,1.15,4,0.701754385964912
30627,"farfantepenaeus californiensis","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"farfantepenaeus duorarum","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"farfantepenaeus notialis","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"haliporoides diomedeae","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
30627,"haliporoides triarthrus","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",1.2775,NA,NA,NA,"no_cf_match","assign",1.2775,1.66,1.15,4,0.782778864970646
