"Code","SciName","Match_category","HS_version","Description","Modification","sciname_habitat","code_habitat"
30627,"marsupenaeus japonicus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"melicertus kerathurus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"melicertus latisulcatus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"metapenaeus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","",NA,"marine.diadromous"
30627,"metapenaeus endeavouri","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"metapenaeus ensis","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"metapenaeus joyneri","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"metapenaeus monoceros","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"nematopalaemon schmitti","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"palaemon adspersus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"palaemon longirostris","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","diadromous","marine.diadromous"
30627,"palaemon serratus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
